place,bag,new bag,rating,review num
Singapore-Johore Express,jb sentral,jb sentral,3,13
Dalhousie Obelisk (Singapore),british india,british india,3,39
"T Galleria by DFS, Singapore","luxury brands,beauty","luxury brands,beauty",3,58
Christmas Wonderland at Gardens By The Bay (Singapore),"christmas spirit,christmas show,supertree grove,bay,gifts","christmas spirit,christmas show,supertree grove,bay,gifts",3,100
The Live Turtle and Tortoise Museum (Singapore),"large tortoises,a lot of fun,sgd","large tortoises,a lot of fun,sgd",3,102
Lucky Plaza (Singapore),"food court,flea market,cheap shopping,souvenirs,shoes","food court,flea market,cheap shopping,souvenirs,shoes",3,668
Singapore Momentum Sculpture,"raffles place,figures,quay,tallest,colorful","raffles place,figures,quay,tallest,colorful",3.5,7
Youth Olympic Park (Singapore),"highest mountain,helix bridge,small maze,marina promenade,on display,singapore flyer","highest mountain,helix bridge,small maze,marina promenade,on display,singapore flyer",3.5,10
Sisters' Islands (Singapore),"marina south pier,ferry,monkeys,coral,shelter","marina south pier,ferry,monkeys,coral,shelter",3.5,13
Century Square (Singapore),"cineplex,footlocker,certified,mall","cineplex,footlocker,certified,mall",3.5,14
Hong Lim Park (Singapore),speakers corner,speakers corner,3.5,14
"Bukit Batok WWII Memorial Site, Singapore","war dead,nature park","war dead,nature park",3.5,15
Pulau Hantu (Singapore),"low tide,great company,boat ride,ghost,underwater,picnic","low tide,great company,boat ride,ghost,underwater,picnic",3.5,16
Standard Chartered Marathon Singapore,east coast park,east coast park,3.5,18
Tang Dynasty Massage &amp; Spa (Singapore),"north bridge road,masseuse","north bridge road,masseuse",3.5,26
Read Bridge　(Malacca Bridge) (Singapore),"william henry,merchant court,quays,merchants","william henry,merchant court,quays,merchants",3.5,30
Johor-Singapore Causeway (Johor Bahru),singapore,singapore,3.5,31
"Nagore Durgha Shrine, Singapore",indian,indian,3.5,34
Cenotaph (Singapore),"world war i,war dead,pandan,national gallery,wars,memorial,erected,bronze,heroes,military,colonial","world war i,war dead,pandan,national gallery,wars,memorial,erected,bronze,heroes,military,colonial",3.5,34
Robinsons The Heeren (Singapore),"orchard road,mall,shopping,homewares","orchard road,mall,shopping,homewares",3.5,42
Hay Dairies (Singapore),"goat milk,goat farm,milking,petting,touching","goat milk,goat farm,milking,petting,touching",3.5,43
Rumah Bebe (Singapore),"seet,kebaya,beads,shoes","seet,kebaya,beads,shoes",3.5,43
Parliament of Singapore,"supreme court,government,photos,structure","supreme court,government,photos,structure",3.5,44
Istana Park (Singapore),"dhoby ghaut mrt,orchard road,arch,route","dhoby ghaut mrt,orchard road,arch,route",3.5,45
SBS Transit (Singapore),"driving skills,bus driver,card,route","driving skills,bus driver,card,route",3.5,47
Robinsons Raffles City (Singapore),"department store,nice shopping,cosmetics","department store,nice shopping,cosmetics",3.5,48
Wheelock Place (Singapore),"orchard road,browsing","orchard road,browsing",3.5,48
