great,JJ
stopover,RB
information,NN
area,NN
ventured,VBD
tourist,JJ
informative,NN
learn,NN
history,NN
lesson,NN
worth,JJ
stop,RB
life,NN
laborers,NNS
help,VBP
establish,VB
living,NN
conditions,NNS
worse,VBP
imagined,JJ
plan,NN
spending,VBG
hour,NN
organized,VBN
visit,NN
interesting,VBG
especially,RB
coincided,VBD
brilliant,JJ
destination,NN
visitor,NN
centres,VBZ
brings,VBZ
fascinating,VBG
cultural,JJ
time,NN
capsule,NN
wonderful,JJ
bought,VBD
ticket,NN
thinking,VBG
spend,VB
long,RB
came,VBD
later,RB
checking,VBG
hotel,NN
valid,JJ
multiple,JJ
entries,NNS
amazing,VBG
floors,NNS
galleries,NNS
detailed,JJ
immersive,JJ
experience,NN
arrival,JJ
migrants,NNS
late,JJ
century,NN
sought,VBD
escape,NN
famine,NN
flood,NN
forge,NN
exists,NNS
restored,VBD
shophouses,NNS
given,VBN
audio,JJ
tablet,NN
guide,NN
beginning,VBG
talks,NNS
exhibits,NNS
turn,VBP
decide,JJ
listen,JJ
commentary,JJ
hear,NN
rise,NN
major,JJ
seaport,NN
homes,NNS
workshops,VBP
early,JJ
particular,JJ
tailors,NNS
workshop,VBP
quarters,NNS
floor,NN
rental,JJ
accommodation,NN
reconstructed,VBD
accounts,NNS
sobering,VBG
small,JJ
cramped,VBD
cubicles,NNS
sinkheh,JJ
population,NN
depicted,VBD
photographs,JJ
video,NN
costume,NN
underbelly,RB
evidenced,VBN
underground,IN
gambling,VBG
opium,NN
dens,VBZ
secret,JJ
societies,NNS
admission,VBP
sgd,JJ
adult,NN
rich,JJ
historical,JJ
recreated,VBN
shop,NN
showing,VBG
families,NNS
lived,VBD
jammed,JJ
tiny,JJ
rooms,NNS
display,NN
shows,VBZ
aspects,NNS
highly,RB
recommended,VBD
educational,JJ
law,NN
exactly,RB
grew,VBD
kong,JJ
overload,NN
set,VBN
original,JJ
evocatively,RB
kitted,VBD
period,NN
fittings,NNS
provides,VBZ
excellent,JJ
overview,NN
nerd,JJ
flagging,VBG
topics,NNS
covered,VBD
exhausting,NN
thought,NN
pricy,NN
realized,VBN
audioguide,NN
snap,NN
shot,NN
tour,NN
turned,VBD
took,VBD
half,NN
spent,NN
longer,RBR
looking,VBG
lots,NNS
recommend,VBP
morning,NN
fresh,JJ
concentrate,NN
entry,NN
value,NN
missed,VBN
miss,JJ
founding,VBG
headset,VBN
stories,NNS
bad,JJ
ugly,RB
machine,NN
following,VBG
outstanding,JJ
working,VBG
people,NNS
gift,NN
pick,NN
keepsakes,NNS
tours,NNS
various,JJ
offers,NNS
insight,JJ
diaspora,NNS
country,NN
origin,VBP
bring,VBG
culture,NN
customs,NNS
household,NN
effects,NNS
acquired,VBN
collection,VBP
personal,JJ
affects,NNS
arranged,VBD
showcases,VBZ
immigrants,NNS
lifestyle,JJ
displays,NNS
tad,RB
expensive,JJ
gives,VBZ
straits,NNS
plying,VBG
trade,NN
single,JJ
room,NN
shared,VBD
family,NN
members,NNS
recreations,NNS
trades,NNS
plied,VBD
hardworking,VBG
community,NN
tailor,NN
shoemaker,NN
dressmaker,NN
doctor,NN
communal,JJ
kitchen,NN
toilet,NN
areas,NNS
real,JJ
eye,NN
opener,IN
fills,NNS
background,IN
couple,NN
videos,NNS
including,VBG
interview,NN
daughters,NNS
brought,VBD
problem,NN
sleep,JJ
typically,RB
square,JJ
smaller,JJR
days,NNS
way,NN
expectations,NNS
presentation,NN
whisked,JJ
residents,NNS
makes,VBZ
realize,NN
difficult,JJ
extremely,RB
challenging,JJ
circumstances,NNS
hourse,NN
china,VBD
town,NN
pricey,NN
enjoy,NN
visual,JJ
developed,VBD
overtime,JJ
buff,NN
totally,RB
engrossed,VBD
hours,NNS
reading,VBG
optional,JJ
things,NNS
mentioned,VBN
watching,VBG
expected,VBN
paid,VBD
introduction,NN
formation,NN
lead,VBP
attending,VBG
understand,JJ
walks,NNS
replica,VBP
attached,VBN
spaces,NNS
humbling,VBG
hard,JJ
worked,JJ
harshness,NN
worthwhile,IN
attraction,NN
step,NN
friends,VBZ
walked,VBN
decided,VBD
glad,JJ
expect,JJ
directly,RB
counter,NN
glimpse,NN
door,NN
left,VBD
quite,RB
extensive,JJ
encompassing,NN
levels,NNS
elevator,VBP
mobile,JJ
entrance,NN
fee,NN
includes,VBZ
