name,address,plus_code,category,overall_rating,url,keywords
Singapore Flyer,"30 Raffles Ave, Singapore 039803",7VQ7+P7 Singapore,Tourist attraction,4.6,"https://www.google.com.sg/maps/place/Singapore+Flyer/@1.2893042,103.8609481,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a936c551cd:0x7fb4e58ad9cd826e!8m2!3d1.2892988!4d103.8631368?hl=en","['ferris', 'marina', 'capsule', 'nightscape', ""bird's"", 'gardens', 'f1', 'rotation', '2008', 'cityscape']"
National Museum of Singapore,"93 Stamford Rd, Singapore 178897",7RWX+JC Singapore,National museum,4.5,"https://www.google.com.sg/maps/place/National+Museum+of+Singapore/@1.2966184,103.8463204,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a311be5b0f:0x92e311597c4db868!8m2!3d1.296613!4d103.8485091?hl=en","['early', 'rotunda', 'doraemon', 'teamlab', 'independence', 'colonial', 'city', '1887', '1965', 'flutes']"
Long Bar,"#02-01, Raffles Arcade, 328 North Bridge Rd, 188719",7VW3+2C Singapore,·$$$,4.3,"https://www.google.com.sg/maps/place/Long+Bar/@1.2950874,103.8513235,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a5b8117caf:0xcacb3659e2afcdea!8m2!3d1.2951981!4d103.8533467?hl=en","['singapore', 'peanuts', 'floor', 'hotel', 'tourist', 'history', 'tax', 'colonial', 'signature', 'cocktail']"
Singapore Zoo,"80 Mandai Lake Rd, 729826",CQ3V+P6 Singapore,Zoo,4.6,"https://www.google.com.sg/maps/place/Singapore+Zoo/@1.4043539,103.7908343,17z/data=!3m1!4b1!4m5!3m4!1s0x31da13d9102adcaf:0xb414fac8a43b1b91!8m2!3d1.4043485!4d103.793023?hl=en","['tram', 'animal', 'polar', 'white', 'rainforest', 'humid', 'swimwear', 'open', 'water', 'moat']"
Singapore Cable Car,"109 Mount Faber Rd, Mount Faber Peak, Singapore 099203",7RC9+FR Singapore,Tourist attraction,4.6,"https://www.google.com.sg/maps/place/Singapore+Cable+Car/@1.2711502,103.8174105,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1ead00000001:0xe147483e211e5430!8m2!3d1.271203!4d103.8196033?hl=en","['experience', 'island', 'beautiful', 'ticket', 'trip', 'harbor', 'klook', 'cable', ""bird's"", 'resort']"
Merlion Park,"1 Fullerton Rd, Singapore 049213",7VP3+MQ Singapore,Tourist attraction,4.6,"https://www.google.com.sg/maps/place/Merlion+Park/@1.2867503,103.8521985,17z/data=!3m1!4b1!4m5!3m4!1s0x31da190ed6203605:0x66ad5eee6e01f3a7!8m2!3d1.2867449!4d103.8543872?hl=en","['marina', 'icon', 'built', 'nightscape', 'laser', 'singapore', 'mermaid', 'mascot', 'mythical', 'national']"
Singapore Botanic Gardens,"1 Cluny Rd, Singapore 259569",8R78+G9 Singapore,Botanical garden,4.7,"https://www.google.com.sg/maps/place/Singapore+Botanic+Gardens/@1.3138451,103.8137249,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1a1c7ddb60bd:0xeadf14903ad3d980!8m2!3d1.3138397!4d103.8159136?hl=en","['unesco', 'exercise', 'rainforest', 'humid', 'lizards', 'umbrella', 'otters', 'metro', 'mat', 'orchestra']"
Madame Tussauds Singapore,"40 Imbiah Rd, Sentosa, 099700",7R39+J2 Singapore,Tourist attraction,4.4,"https://www.google.com.sg/maps/place/Madame+Tussauds+Singapore/@1.2540427,103.8154328,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1bff1bf8d75f:0xa8426dcf84c7f866!8m2!3d1.2540373!4d103.8176215?hl=en","['celebrities', 'bollywood', 'personalities', '4d', 'marvel', 'candle', 'modi', 'obama', 'jokowi', 'shah']"
Universal Studios Singapore,"8 Sentosa Gateway, 098269",7R3F+JG Singapore,Theme park,4.6,"https://www.google.com.sg/maps/place/Universal+Studios+Singapore/@1.2541781,103.8186673,16z/data=!3m1!4b1!4m5!3m4!1s0x31da1955a615a343:0x3094037d34e6529f!8m2!3d1.2540421!4d103.8238084?hl=en","['jurassic', 'express', 'shrek', 'stimulation', 'speedrun', 'halloween', 'klook', 'casino', 'fard', 'globe']"
CE LA VI Singapore,"1 Bayfront Avenue Marina Bay Sands, Hotel, Tower 3, 018971",7VM5+2X Singapore,·$$$$,4.2,"https://www.google.com.sg/maps/place/C%C3%89+LA+VI+Singapore/@1.2825551,103.8577532,17z/data=!3m2!4b1!5s0x31da190422da0b49:0x571df46076e0c318!4m5!3m4!1s0x31da190440e93599:0x34732a2397ec6566!8m2!3d1.2825497!4d103.8599419?hl=en","['marina', 'sunset', 'observation', 'ticket', 'infinity', 'sky', 'cover', 'dress', 'singapore', 'nightscape']"
