attraction_name,review stars,review text
"Chinatown Heritage Centre, Singapore",5,"One word!Such an amazing place to stroll at day time and especially at night!

Come and visit and buy stuff here for your Chinese New Year ornaments and home decors. Enjoy the street food here as well!"
"Chinatown Heritage Centre, Singapore",5,It is a place where experiences from my 4 months in Asia were sinking in. It shows traditional lives as they were and as they still are in Chinese live-in eateries in Vientiane or on the bustling streets of Chinatown in Bangkok. Personal stories and family stories make one think about the lives of immigrants of old and new times. They also make you think about your own life story. The whole place is also a subtle homage to Chinese culture. Beautiful for anyone who has ever visited and admired China.
"Chinatown Heritage Centre, Singapore",5,Best place for food n shopping
"Chinatown Heritage Centre, Singapore",5,"This museum is surely interesting for everyone. You can follow the first Chinese immigrants how they moved from China , where they arrived , the conditions in which they had to live and the difficulties had to face. They all had to work extremely  hard  (sometimes as slaves) in order to survive and build up a future for their families. Really admirable what they did."
"Chinatown Heritage Centre, Singapore",4,"The Chinatown Heritage Centre in Singapore is a fantastic interactive museum, one of the most detailed, comprehensive and accessible museums I've been to. Definitely worth the entry fee, this centre is engaging with rooms dedicated to following the life of a family and tenants who lived in the shop there in the 1950s. This personalisation of history was highly engaging, as were the still life exhibits. If anything, there's so much detail and information that by the end of it you may leave feeling overwhelmed. You could easily spend two hours or more here, and it's worth visiting just to get out of the Singaporean humidity. The audio guide was very informative, otherwise wander at your own pace. I'd recommend to anyone wanting to learn a little bit about life in post-war Singapore. In summary, this tour was unexpected in its quality in the best of ways and I would recommend it to any of my friends heading to Singapore."
"Chinatown Heritage Centre, Singapore",5,Corloful place with beautiful community. I'm very lucky when it stopped raining when we came. Enjoy a lot.
"Chinatown Heritage Centre, Singapore",4,"Brought students here for learning journey and was pleasantly surprised by the renovated museum.

I am particularly impressed by the display of sleeping quarters of people working different jobs in the early days. Much effort has been devoted to replicate the living environment of our forefathers who earned a hard living doing various odd jobs.

The admission ticket is not cheap but it is not going to be a disappointment. I think it is worth a visit."
"Chinatown Heritage Centre, Singapore",5,"A history of Singapore.  Great place to visit.  Has a very real an interesting insight into the development of Singapore.  Can’t vouch for accuracy, but it’s a cultural staple of the city state."
"Chinatown Heritage Centre, Singapore",5,Good area for Chinese food. Any restaurants that claim to be street food with a trip adviser sign stay clear of as its very overpriced mediocre slosh. Eat where you see the locals eat. Plus we found shopping malls have really good food at around 2-3 US dollars for a meal👌
"Chinatown Heritage Centre, Singapore",5,Very intersting loved the whole experience. Head sets easy to use. 2hrs well spent.
"Chinatown Heritage Centre, Singapore",4,"Another air-conditioned haven from Singapore heat. This center takes you though history of Chinatown with a mockup of a shop-house from days gone by. It was quiet freaky to the space that a family of eight would live in, which by modern standards would be about the size of the average bathroom. There is an audio guide supplied with your entrance ticket but I found it to be too long, the commentary for each stop were at least 4-8 minutes long and over 30 stops in the display."
"Chinatown Heritage Centre, Singapore",5,Cheap to visit at $18. Audio headsets in multiple languages. Great insight into early beginnings of Singapore.
"Chinatown Heritage Centre, Singapore",5,"Such a wonderful place to visit that it shows the old Chinese culture and the way of living at that time. Many things to see and learn from the history. Located at Pagoda Street Chinatown that it is very easy to reach this place. Go to exit A from the Chinatown MRT Station. It is surrounded by gift shops, souvenir shops, and restaurants."
"Chinatown Heritage Centre, Singapore",5,This is a great way to learn about the history and culture of Chinatown. Allow at least two hours for the self-guided audio tour.
"Chinatown Heritage Centre, Singapore",4,It's a great place to walk and learn the Chinese culture
"Chinatown Heritage Centre, Singapore",5,"This place takes some time to adjust to, but it has a unique and interesting way to convey life in the China Town neighborhood back in the days. A lot of thought and detail have been put to this place and a lot of information is available.
If you find the subject of Chinese immigration to Singapore interesting, allow 1.5-2 hours for a visit in the Chinatown Heritage Centre."
"Chinatown Heritage Centre, Singapore",5,"I like this museum.
There is so many information to know about chinese immigrant especially from mainland to Singapore finding their wealthy at new place"
"Chinatown Heritage Centre, Singapore",4,"It's a photographers wonderland!!! The place is really beautiful as it captures the tradition and beauty of the Chinese and India heritage in a street. There is a lot of shops to buy souvenirs and some nice street food. Beware, some restaurants try to charge a higher price when its a foreigner."
"Chinatown Heritage Centre, Singapore",5,Excellent experience. Interesting storyline. Well describe with self-guided audio tour. Takes about 1-2 hours to see/feel the museum and listen to the whole story. The museum consists 3-story building.
"Chinatown Heritage Centre, Singapore",4,"Chinese food fix, as good as you'd expect and reasonably priced places galore!"
"Chinatown Heritage Centre, Singapore",4,Must go in singapore. Convenient location. Cheap souvenirs compare to tourism parks if you don't mind too much about the quality. A bit dirty though. Exchange money in a place call CK has great exchange rate see photo.
"Chinatown Heritage Centre, Singapore",4,"This place is near MTR station.
Lot of thing to buy.  Great place to get your Seiuvene at a cheap price.
Lots of food to chose from.  Some have air conditioning some don't.  See a few bars too."
"Chinatown Heritage Centre, Singapore",4,There are a lot of souvenir shops and restaurants. Not many things to see as a tourists but shopping.
"Chinatown Heritage Centre, Singapore",5,A great place to know the history of Singapore and China town.  Enjoyed the arrangement of historic elements and modern display .
"Chinatown Heritage Centre, Singapore",5,"A very very good and recommended place if you want to see and learn how people migrate from mainland china to singapore, all the history, and the house is a really great experience to feel and picture how is it like back then. You will got a device that give you all the info with the headset.9.5/10"
"Chinatown Heritage Centre, Singapore",4,A small museum that depicts how immigrants to Singapore lived in early 1900s. I’m very thankful to live in conditions so much better than them. The museum also has exhibition on life at Chinatown and other aspects. Interesting facts and photos/dioramas.
"Chinatown Heritage Centre, Singapore",5,Just stroll around with chines shopping area. Best price for souvenirs.
"Chinatown Heritage Centre, Singapore",5,cheap souvenirs and other good stuff. some of shops offer discounts as well
"Chinatown Heritage Centre, Singapore",5,"Place you must to see. 11.30, 13.30 and 15.30 tours with guide. The best experience to know China Town. Cost is 20sgd, if you wish to save please take headset guided tour."
"Chinatown Heritage Centre, Singapore",4,"Good for tourists for souvenir shopping  and to enjoy some street food, especially Chinese cousin.  Always decorated with very bright colorful lights and Chinese style hanging lamps."
"Chinatown Heritage Centre, Singapore",5,"If you love to know and learn about the history of Chinatown, this is the place you should be visiting. Although there is a entrance fee, but the knowledge and experience is worth in (in my own context). They also have a counter for local design souvenirs."
"Chinatown Heritage Centre, Singapore",5,walk down memory lane and see all about singkek.... wanna know more about Singaporean Chinese... come and have a look
"Chinatown Heritage Centre, Singapore",4,"I visited Chinatown on 06 Juli2019,
First we looked for place to eat the cheaper one
Then we walked to market to buy somw souvenir
It was so hot there about 34degree Celcius.
Here so many place for eat from cheapest to expensive
This is one of souvenir centre that you can buy something before back to your country,many diacount down here
It would be better if visits in the afternoon especially if travel with familly"
"Chinatown Heritage Centre, Singapore",5,Nicely done. Interesting to see how the old shophouses were fitted to house many families and businesses. Neat semi interactive displays with good audio tour. Worth a visit by tourists visiting Singapore or residents interested to learn more about the early development of Singapore by Chinese immigrants.
"Chinatown Heritage Centre, Singapore",5,"Wonderful place- great food, great people, great shopping!"
"Chinatown Heritage Centre, Singapore",5,"So many stand shops are selling different types of teenage girls cosmetic, food, bag, etc. It's beside of China town of Singapore."
"Chinatown Heritage Centre, Singapore",5,Loved the museum. Got to learn a lot about Chinese settlements in Singapore and their lives
"Chinatown Heritage Centre, Singapore",5,"Far more expensive than the other heritage centres, but worth the price. The exhibition is in 3 parts: life in a shop house, the history of Chinese immigration to Singapore, and the transformation to modern times. Included in the ticket price is the audio guide, which is information and engaging. The ticket also includes a free curry puff or egg tart, so don't forget to keep the paper ticket."
"Chinatown Heritage Centre, Singapore",5,"This place was absolutely amazing. The multimedia used was not without flaws but, man, you would really know that a lot of thought and work were put behind creating an audiovisual and tactile experience  that would allow the visitor to be pulled in and to walk through what life must have been like for immigrants in early Chinatown and to understand how hard it had truly been. By the end of the tour, that fee you'd paid at the entrance? You'd know it was worth it."
"Chinatown Heritage Centre, Singapore",5,"Should come here, especially counting days to CNY"
"Chinatown Heritage Centre, Singapore",5,Very cosy and vibrant place to shop and hop.
"Chinatown Heritage Centre, Singapore",5,"For once, a very interesting stop. I should say a must do if you want to understand immigration in Singapore. A great immersion in the life of the migrants, very well done, their day to day, lots of details in a very easy and interesting way. A high recommendation"
"Chinatown Heritage Centre, Singapore",5,You can find cheap things here..
"Chinatown Heritage Centre, Singapore",4,"You can peer into the life of immigrants. You see how hard life they had back then through the living cubicles with audio guide.
I smelled the scent of opium for the first time and I kinda liked it.(of course it’s fake!)
This heritage center is worth visiting."
"Chinatown Heritage Centre, Singapore",5,Going there was worth it i was able to know the history of Singapore and with multimedia support it was soo easy
"Chinatown Heritage Centre, Singapore",4,"Clean and joyful
So many goods for choosing!!"
"Chinatown Heritage Centre, Singapore",4,What better way to show off Asian heritage than Goku and friends? We took a nice stroll here with hanging floral LED Lights.
"Chinatown Heritage Centre, Singapore",4,good budha sanctuary
"Chinatown Heritage Centre, Singapore",5,Singaporean like to visit and do shopping freely .also can enjoy nice multiple traditions delicious food.
"Chinatown Heritage Centre, Singapore",5,Gteat place in singapore as well aa cheap
"Chinatown Heritage Centre, Singapore",4,A very nice place to visit. Lots of souvenirs available.
"Chinatown Heritage Centre, Singapore",4,I love this place !
"Chinatown Heritage Centre, Singapore",5,"I visited Singapore twice , one in 2014 and anther one in 2017 but didn't visit Chinatown Heritage Center. This time in 2019 finally I had a chance to get inside and explore the museum. It was one of fantastic museums in Singapore. Especially if you are interested in Chinese culture in Southeast Asia, this is the right place for you. I enjoyed every single room inside and learnt a lot of new things about Chinese people in Singapore :) love it !!"
"Chinatown Heritage Centre, Singapore",5,The best Chinatown Museum I've ever seen😙😙😙 great. Must be there!!!
"Chinatown Heritage Centre, Singapore",4,"My friend recommended me to visit here, and I have enjoyed a lot.  In this facility, we could learn how Chinese live in Singapore in early days, what was challenging for them, how they survive there.  When you come to Singapore, this is one of the MUST place to learn its history."
"Chinatown Heritage Centre, Singapore",5,Loved this place. It's a must visit in Singapore. Great place to shop soveniers and Chinese items.
"Chinatown Heritage Centre, Singapore",5,"Many shops to walk by, fair and low prices, many street food. I recommend to come during the week days and not in the weeeked, to have a more calming experience"
"Chinatown Heritage Centre, Singapore",4,in here we can learn the history of the very first chinese immigrant enter Singapore island
"Chinatown Heritage Centre, Singapore",5,"Educating, well presentation of the origin of Singaporean.  Place is clean ans well maintained. Good staff"
"Chinatown Heritage Centre, Singapore",5,Cheap shopping center for singapore gifts.. also so many delicious food ..always visits China town when i'm going to Singapore
"Chinatown Heritage Centre, Singapore",5,Amazing one of the best museums I ever been.
"Chinatown Heritage Centre, Singapore",5,Nice place to go SHOPPING
"Chinatown Heritage Centre, Singapore",5,Perfect! It gives comprehensive understanding about the history of Chinese in Singapore.
"Chinatown Heritage Centre, Singapore",5,Greatest shopping place in Singapore gifts foods everything in this place
"Chinatown Heritage Centre, Singapore",3,"Chinatown could be amazing if this guy here on the left never passed through it. Now I hate it, look at his face trying to pretend he’s not aware of it the camera. The MF is in fact aware of it but just playing: “Sawarni sahi”"
