attraction_name,review stars,review text
My Fishing Frenzy Academy,5,"It was absolute blast with the Fishing Frenzy Academy. We had an exceptional experience learning how to tie knots and how to set up a fishing rod at the basic course. Aloysius was very friendly and knowledgeable, being a avid fisherman for many years now. He was very willing to share his knowledge with all of us at the class; young, old and experienced fishers too!"
My Fishing Frenzy Academy,5,"Brought my son along to learn the very basics of fishing and Aloysius of MFFA didn't disappoint. The explanation/guidebook was very detailed and actually managed to clear many doubts I have about basic fishing equipment/setup/techniques.
After this lesson, fishing doesn't seem to daunting anymore. Even my 8 year old son managed to catch 2 small fishes:). Definitely would recommend MFFA for those who wants to try out fishing but overwhelmed by the amount of equipment and techniques.
Finally, what's admirable is that MFFA also promotes sustainable and humane fishing by teaching us how to fish with least damage to fishes and encourage catch and release especially for juvenile and rare fishes. Kudos!"
My Fishing Frenzy Academy,5,"The Beginner Angler's Course is perfect for learning the basics and getting started with fishing! My friend and I had an amazing time when we went for this course during the holidays. We are both complete newbies to fishing, but learned to assemble the fishing rod, attach the bait and catch fish through this course. Both of us successfully managed to catch our first fish at the Lazarus Island jetty. The weather was great, ambience was so nice and peaceful, and was an overall very relaxing and enjoyable experience!"
My Fishing Frenzy Academy,5,"Went for Novice Anglers and Intermediate and had a blast. Fished at southern island with a bunch of other eager novice anglers and we all had a great time.
Then the intermediate was a smaller group in the boat. And we had a whale of a time,  Cap and crew were fantastic. Taught us how to catch bait fish while at the jetty and at sea. Caught a couple groupers and all in all was a great experience."
My Fishing Frenzy Academy,5,"I attended the beginner angler's course and it was a very enriching experience. The instructors were very encouraging and helpful in guiding the participants to learn how to tie the knots. At the same time, they also shared their personal experiences with fishing. Overall, it is an enjoyable course that is suitable for adults and children. I definitely am hooked on fishing now."
My Fishing Frenzy Academy,5,"It was a great experience having the ability to actually learn how to fish! Everything was done meticulously so that you have the basic knowledge and know how to fish. From how to tie a hook, your lines and even how to feel for a bite. It was simply amazing! Huge hats off to Mr Rainey who taught me!!!"
My Fishing Frenzy Academy,5,"Attending the Beginner course with MFFA helped to reconnect with a hobby that I had left behind for years. Had a great time with my instructor, Raymond, who I affectionally call ""Master Shifu"" these days, and learnt everything from scratch again. I've since completed the Novice phase and have embarked on the Intermediate course to better hone my fishing skills. Every trip with MFFA has been a joy and wonderful learning experience. Thank you Shifu Raymond and Skipper Fidos for always being generous with your knowledge and patience with this growing angler!"
My Fishing Frenzy Academy,5,"Signed up for the Beginner Angler Course for my Son and I. He is turning 10 and always interested to learn to fish but I didn’t know how and where to start.

The course was structured and organized really well with opportunity for hands on experience preparing the rod, line and lures. Lazarus island was like a mini getaway and very calm peaceful place for fishing. We successfully caught a few small fishes and my Son is hooked.

Have since signed up for thier next course - Beginner angler  course which will be on a boat!"
My Fishing Frenzy Academy,5,"I brought my boyfriend on the basic fishing course, I found on klook. We thoroughly enjoyed the trip, it was a beautiful day and we learned so much. I even learned how to better make knots! We have continued to fish even after that!"
My Fishing Frenzy Academy,5,"Personally I had enjoyed this short and simple fishing trip. My grandson also enjoyed the feeling of learning to set up the fishing rod and line, hooks and tackle. Got the real experience to fish after the lesson. Quite a value for money trip although we managed to just hook up few small fishes."
My Fishing Frenzy Academy,5,"My friends and I went for the 1 day BEGINNER ANGLER'S COURSE. The day started off early in the morning at Marina South Pier where we met with the instructor and got ourselves a private charter boat to Lazarus/St john Island. Once there, the instructor set us down and guided us through very patiently everything a newbie would need to know from different types of material of the rod, types of fishes commonly found among our shores and which is venomous, typing of hooks, setting up the fishing rod (which was provided) to be ready to fish by ourselves, all the way to how to hook and fight a fish properly. The instructor was a pretty funny guy so the lesson was not one bit boring at all haha. We then went on to do some fishing with his guidance near at beautiful shoreline of Lazarus Island and we all manage to catch some fishes for ourselves albeit most were small fishes but it was EXCITING to finally able to land a fish by ourselves. Some of us even caught some exotic looking fishes!
Overall, although I had some basic fishing experience myself,  I still find value in this course and learnt many things that day(like how to properly fight a fish, why use a leader, how to properly tie main line to swivel etc..) and would highly recommend anyone who might want to start fishing for the first time or even just to get to know more about fishing to join the course as I understand it can be quite daunting to learn all of these by yourself when there is so much different information out on the internet and you have no idea where to even start from. They even offer follow-up courses after the beginner courses and needless to say my friends and I are already planning to go for it :)
We all become addicts to fishing after the course haha."
My Fishing Frenzy Academy,5,"Aloysius was the instructor for the beginner course - he was knowledgeable and approachable! The beginner course is great for those who want to get their feet wet in fishing. Fishing location was a pontoon off Pulau Seringat, a part of Lazarus Island."
My Fishing Frenzy Academy,5,"I am very interested in taking up fishing as a hobby however I do not know how to start or where to start from. I found MFFA online giving courses for beginners, I told myself this is it and I immediately register myself for the course.

On the course date, I went to Lazarus island meet my instructor, Mark and a group of interesting course-mates. Mark teaches us the different components of the fishing rods, reels , knots for tying hooks etc.After that we started our practical fishing, managed to hook up some small fishes. Even though the fish is small but I’m just so happy as I finally learnt how to fish.Released the small fishes back to the sea to let them grow bigger.Times flies quickly and it came to the end of the class.

Strongly recommend for beginners that are interested in fishing if you do not know how to start."
My Fishing Frenzy Academy,5,Went with my wife using the sg rediscover voucher to attend the BAC. Learnt the basic of fishing and also at the same time went to a new/discover place. Trainer (Aloysius) is quite helpful and patience to teach beginners from the very start.
My Fishing Frenzy Academy,5,"Signed up BAC class for my children . They enjoyed the course very much . The instructors are friendly , helpful and patient . Thumbs up for the instructors . Affordable course with great instructors’ guidance, a must do activities for all children . Thank you MFFA :)"
My Fishing Frenzy Academy,5,"I signed up for a Beginner Angler’s Course with my 8 year old son as he’d always been interested in fishing. It was a great trip, and one that I would recommend any parents. The instructors (yes, not just one instructor but a few, each instructing a smaller group) were great, and my son not just learnt the basics but also managed to catch two fish. That definitely made his day! In fact everyone who went on the same course didn’t go home empty handed, with everyone landing at least one fish! Raymond Ang was the instructor assigned to my group and he was really patient with children. He was also clear in his explanation and all of us have little trouble tying our own setup. I am planning on signing up for the Novice Angler’s Course next with my son for another rendezvous to sea!"
My Fishing Frenzy Academy,5,"During my first lesson with MFFA, I learnt the basics of tying a knot and getting a feel for bites when the fishes are eating the bait. With this understanding well thought by the instructors, I attended the next course involving boat fishing which paid of extremely well. All of us caught big fishes (at least 2kg). It was really enjoyable and very informative. Overall I believe MFFA has succeeded in not only equipping me with the knowledge and skill but most importantly loving fishing. Thank you!"
