name,category,sub_category,latitude,longtitude,description,address,x_addr,y_addr,url
"Chinatown Heritage Centre, Singapore",culture heritage,heritage discovery,1.283510000442852, 103.8443500000813,"Experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre. At the Chinatown Heritage Centre, experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture.",48 Pagoda Street,29227.7061,29549.5371,http://www.singaporechinatown.com.sg/
"Thian Hock Keng Temple, Singapore",culture heritage,places of worship,1.280939999723204, 103.847629999838,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea. Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",158 Telok Ayer Street,29592.7445,29265.3615,http://www.thianhockkeng.com.sg
Eurasian Heritage Centre: Singapore Attraction,culture heritage,heritage discovery,1.310070000376672, 103.8994200001141,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore. This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,139 Ceylon Road,35356.4676,32486.4992,http://www.eurasians.org.sg/
Shophouses,architecture,historical,1.277218600264318, 103.8373355996684,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal. Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.",,28447.0623,28853.8642,
Pinnacle@Duxton,architecture,modern,1.275490000070019, 103.8414200003462,"The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost. With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.",1 Cantonment Road,28901.624,28662.7257,http://www.pinnacleduxton.com.sg
Hajjah Fatimah Mosque,architecture,historical,1.302910000241439, 103.8628499998685,"The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences. With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.",4001 Beach Road,31286.5785,31694.7056,
Haw Par Villa: Singapore Theme Park,culture heritage,heritage discovery,1.285510000257346, 103.7831400004297,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park. A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.,262 Pasir Panjang Road,22415.5418,29770.739,
NUS Baba House - Singapore Peranakan Architecture,culture heritage,heritage discovery,1.277309999949253, 103.8373099995904,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts. NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",157 Neil Road,28444.2132,28863.9707,http://www.nus.edu.sg/museum/baba
Hong San See Temple Singapore,architecture,historical,1.293160000425083, 103.8412220000249,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory. Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.",31 Mohamed Sultan Road,28879.5822,30616.583,
Capitol Building Singapore,architecture,historical,1.293539999816087, 103.8515700000389,"The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year. Now undergoing massive restoration works, Capitol Building will emerge as Singapore’s premier entertainment hub next year.",11 Stamford Road,30031.2246,30658.6073,http://www.capitolsingapore.com
Esplanade Theatre,architecture,modern,1.289859999571351, 103.8552799999759,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline. The Esplanade is boldly designed performing arts centre that has become a memorable part of Singapore’s skyline.,1 Esplanade Drive,30444.1189,30251.6951,http://www.esplanade.com
Gardens by the Bay,architecture,modern,1.281567999977022, 103.8636129999058,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering. Biodomes, baobabs and the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.",18 Marina Gardens Drive,31371.5217,29334.818,http://www.gardensbythebay.com.sg
The Interlace,architecture,modern,1.281990000065278, 103.8030500002595,"There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks. Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex.",180-226 Depot Road,24631.3547,29381.4805,http://www.theinterlace.com
PARKROYAL on Pickering,architecture,modern,1.285562999686758, 103.8465219999979,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore. PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,3 Upper Pickering Street,29469.4305,29776.5482,http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html
Lasalle College of the Arts,architecture,modern,1.302900000419045, 103.8516000003647,"How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts. Lasalle College of the Arts evokes awe with its bold, graphic lines and stunning reinterpretation of nature.",1 McNally Street,30034.5559,31693.5879,https://www.lasalle.edu.sg
Old Supreme Court Singapore,architecture,historical,1.289700000146784, 103.8512799998966,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore. Due to reopen as the National Gallery Singapore, the Old Supreme Court is in itself a masterpiece of classical art.",1 St Andrew's Road,29998.953,30233.9997,http://app.supremecourt.gov.sg/
SIT Flats Singapore,architecture,historical,1.283509999888825, 103.8336000000063,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru. The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.,Seng Poh Road and Tiong Bahru Road,28031.3197,29549.5343,
Lau Pa Sat Singapore,architecture,historical,1.280720000157005, 103.8504399998727,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience. The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food.",18 Raffles Quay,29905.4748,29241.037,http://www.laupasat.biz
"Malay Heritage Centre, Singapore",culture heritage,heritage discovery,1.303089999566113, 103.8598600002972,The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community. The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,85 Sultan Gate,30953.8185,31714.6052,http://www.malayheritage.org.sg
Peranakan Museum Singapore: History & Culture,culture heritage,heritage discovery,1.29421000004283, 103.8491999999009,"Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits. At the Peranakan Museum, get to know Singapore’s vibrant Peranakan community and its eclectic culture and history with fun and interactive exhibits.",39 Armenian Street,29767.4637,30732.6907,http://peranakanmuseum.org.sg/
Raffles Singapore,architecture,historical,1.295789999624149, 103.8540399998117,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life. Sip a Singapore Sling beneath the whirling fans at the Long Bar, and let the tranquil charms of Raffles Singapore bring you back into another era.",1 Beach Road,30306.112,30907.4027,http://www.raffleshotel.com
Gillman Barracks – YourSingapore,arts,performance arts,1.278399999751551, 103.804589999669,"A former British military camp is now Asia's new Destination for Contemporary Art. Gillman Barracks Singapore is Asia’s vibrant new destination for the creation, exhibition and discussion of contemporary art.",9 Lock Road,24802.7396,28984.5149,https://www.gillmanbarracks.com/
National Museum of Singapore,history,history museums,1.296889999710618, 103.8488299997966,Singapore’s oldest museum is a progressive showcase of the country’s history and culture. The National Museum of Singapore is a progressive showcase of the country’s history and culture.,93 Stamford Road,29726.284,31029.0309,http://nationalmuseum.sg/
The Japanese Cemetery Park,history,memorials,1.364310000151888, 103.8758399999988,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community. The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of Singapore’s early Japanese community.",825B Chuan Hoe Avenue,32732.1305,38484.0255,
"Dalhousie Obelisk, a Singapore Landmark",history,memorials,1.287040000089423, 103.85237999961,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore. Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,1 Empress Place,30121.3759,29939.8715,
Raffles Statue – Sir Stamford Raffles Landing Site,history,memorials,1.287765999991972, 103.8508450001279,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place. Raffles Statue depicts the founder of modern Singapore, Sir Stamford Raffles. Two statues exist today, at the Raffles Landing Site and Empress Place.","Raffles Landing Site , 59 Boat Quay",29950.5427,30020.1476,
Singapore Philatelic Museum,history,history museums,1.292940000012079, 103.8486999998404,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps. The Philatelic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.,23-B Coleman Street,29711.8189,30592.2602,http://spm.org.sg
Lim Bo Seng Memorial,history,memorials,1.28848299967789, 103.8530270002096,This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II. The gazetted Lim Bo Seng Memorial at Esplanade Park commemorates one of Singapore’s heroes from World War II.,"Esplanade Park, Connaught Drive",30193.3804,30099.4315,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials
Kranji War Memorial Landmark in Singapore,history,memorials,1.419030000369078, 103.7574899999884,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II. The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,9 Woodlands Road,19561.3701,44534.7824,http://bit.ly/19MZ0SB
Indian National Army (INA) Monument in Singapore,history,memorials,1.289954000112517, 103.8542170002321,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II. The Indian National Army (INA) Monument at Esplanade Park is a memorial that was built in 1995 to mark the 50th anniversary of the end of World War II.,Esplanade Park,30325.8159,30262.0881,http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial
Reflections at Bukit Chandu: Singapore War Memorial,history,memorials,1.279539999792618, 103.794330000358,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II. Reflections at Bukit Chandu relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",31-K Pepys Road,23660.8859,29110.5853,http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu
The Cenotaph - a Singapore War Memorial Landmark,history,memorials,1.290347999697075, 103.8538375996643,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II. The Cenotaph in Singapore is a war memorial in Esplanade Park that honours the heroes who fought and died during World War I and World War II.,"Esplanade Park, Connaught Drive",30283.5915,30305.6543,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials
