OID_,OBJECTID,URL_PATH,IMAGE_PATH,IMAGE_ALT_,PHOTOCREDI,PAGETITLE,LASTMODIFI,LATITUDE,LONGTITUDE,ADDRESS,POSTALCODE,OVERVIEW,EXTERNAL_L,META_DESCR,OPENING_HO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
0,1,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinatown-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinatown-heritage-centre-carousel01-rect.jpg,Learn more about local Chinese culture at the Singapore Chinatown Heritage Centre.,Joel Chua DY,"Chinatown Heritage Centre, Singapore",2015-11-02T10:16:52.847+08:00,1.28351,103.84435,48 Pagoda Street, ,Experience how Singapore08:00,http://www.singaporechinatown.com.sg/,"At the Chinatown Heritage Centre, experience how Singaporeinatown Heritage Centre.","Daily, 9am atown Heritage Centre, experience how Singaporeinatown Heritage Centre.",255C03B58EE7B003,9/1/2017 0:00,29227.7061,29549.5371
1,2,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,"The Thian Hock Keng Temple in Singapore is dedicated to Mazu, the Goddess of the Sea.",Joel Chua DY,"Thian Hock Keng Temple, Singapore",2015-11-02T10:20:57.245+08:00,1.28094,103.84763,158 Telok Ayer Street, ,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",http://www.thianhockkeng.com.sg,"Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Daily, 7.30am g Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",D5D3E3930E0C117F,9/1/2017 0:00,29592.7445,29265.3615
2,3,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,Discover the history and culture of the Eurasian community in Singapore.,Joel Chua DY,Eurasian Heritage Centre: Singapore Attraction,2015-11-02T10:13:25.883+08:00,1.31007,103.89942,139 Ceylon Road, ,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,http://www.eurasians.org.sg/,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,"Tuesday to Sunday, 9am attraction takes you through the history and culture of the Eurasian community in Singapore.",9CB05BD01BA1715C,9/1/2017 0:00,35356.4676,32486.4992
3,4,www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,The varying styles of Singapore's shophouses are a showcase of our evolving architecture., ,Shophouses,2015-11-02T10:15:26.429+08:00,1.2772186,103.8373356, ,0,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.", ,"Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.", ,720A9127274D4EF2,9/1/2017 0:00,28447.0623,28853.8642
4,5,www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,The Pinnacle@Duxton's architecture is a refreshing change in a sea of concrete blocks.,Malcolm Tredinnick,Pinnacle@Duxton,2015-11-02T09:37:49.535+08:00,1.27549,103.84142,1 Cantonment Road, ,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,http://www.pinnacleduxton.com.sg,"With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.","50th storey Skybridge, Daily, 9am  sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.",2C6A0BFEF4508DE7,9/1/2017 0:00,28901.624,28662.7257
5,6,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hajjah-fatimah-mosque.html,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,The Hajjah Fatimah Mosque in Singapore features an intriguing blend of cross-cultural architectural influences., ,Hajjah Fatimah Mosque,2015-11-02T09:55:25.479+08:00,1.30291,103.86285,4001 Beach Road, ,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences., ,"With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.","Daily, 9am lting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.",7E566C807458EAF9,9/1/2017 0:00,31286.5785,31694.7056
6,7,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html, , , ,Haw Par Villa: Singapore Theme Park,2015-11-02T10:03:18.577+08:00,1.28551,103.78314,262 Pasir Panjang Road, ,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park., ,A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.,"Daily, 9am the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.",5D5A48757DF05F69,9/1/2017 0:00,22415.5418,29770.739
7,8,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/nus-baba-house.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,Beautifully preserved architecture and artefacts make the NUS Baba House a must-visit., ,NUS Baba House - Singapore Peranakan Architecture,2015-11-02T10:05:26.618+08:00,1.27731,103.83731,157 Neil Road, ,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",http://www.nus.edu.sg/museum/baba,"NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm ifully preserved architecture and artefacts.",0DA5B95C21C26A5A,9/1/2017 0:00,28444.2132,28863.9707
8,9,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html, , , ,Hong San See Temple Singapore,2015-11-02T10:04:31.503+08:00,1.29316,103.841222,31 Mohamed Sultan Road, ,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.", ,Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.,Daily,B87236103D7369A5,9/1/2017 0:00,28879.5822,30616.583
9,10,www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,The Capitol Building's distinctive facade adds a touch of grandeur to the cityscape., ,Capitol Building Singapore,2015-11-02T10:06:38.723+08:00,1.29354,103.85157,11 Stamford Road, ,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,http://www.capitolsingapore.com,"Now undergoing massive restoration works, Capitol Building will emerge as Singaporement hub when Capitol Building reopens next year.", ,C7F2EE424864FB14,9/1/2017 0:00,30031.2246,30658.6073
