places,review,review_num
Singapore River Cruise,"2,509 reviews",4
Singapore Flyer,"17,343 reviews",4.5
National Museum of Singapore,"2,818 reviews",4.5
Long Bar,"2,999 reviews",3.5
Singapore Zoo,"22,358 reviews",4.5
Singapore Cable Car,"4,174 reviews",4.5
Singapore Mass Rapid Transit (SMRT),"24,043 reviews",4.5
Merlion Park,"9,549 reviews",4
Singapore Botanic Gardens,"19,811 reviews",4.5
Madame Tussauds Singapore,"2,019 reviews",4
Universal Studios Singapore,"19,970 reviews",4.5
CE LA VI Singapore,"2,279 reviews",4.5
National Gallery Singapore,"1,278 reviews",4.5
Indie Singapore,"1,213 reviews",5
Battlebox,"2,492 reviews",5
Raffles Hotel Arcade,"1,714 reviews",4
Sands Skypark Observation Deck,"16,866 reviews",4.5
Singapore Cable Car (Sentosa),"2,185 reviews",4.5
Chinatown,"14,396 reviews",4
Little India,"4,053 reviews",4
Fort Canning Park,"1,078 reviews",4
Singapore DUCKtours,"1,531 reviews",4
Singapore River,"2,150 reviews",4.5
Marina Bay,"12,997 reviews",4.5
Boat Quay,"1,249 reviews",4
Chinatown Heritage Centre,"1,099 reviews",4.5
Orchard Road,"13,500 reviews",4
Clarke Quay,"3,391 reviews",4.5
1-Altitude Gallery & Bar,"1,439 reviews",4.5
Maxwell Food Centre,"3,266 reviews",4
Waterfront Promenade,"4,410 reviews",4.5
Gardens by the Bay,"59,521 reviews",4.5
Arab Street,"2,300 reviews",4
Supertree Grove,"5,976 reviews",4.5
Sentosa Merlion,"2,408 reviews",4
Asian Civilisations Museum,"2,195 reviews",4.5
Food Playground,"1,096 reviews",5
Peranakan Museum,"1,237 reviews",4.5
East Coast Park,"1,216 reviews",4.5
Lau Pa Sat Festival Pavilion,"1,565 reviews",4
Mustafa Centre,"3,052 reviews",4
The Helix Bridge,"2,898 reviews",4.5
Bugis Street,"1,929 reviews",4
Changi Chapel and Museum,"2,053 reviews",4.5
Jewel Changi Airport,"1,162 reviews",4.5
City Scoot,627 reviews,5
Monster Day Tours,"1,060 reviews",5
VivoCity,"1,444 reviews",4
Singapore Foot Reflexology,377 reviews,5
F1 - Singapore Grand Prix,595 reviews,4.5
Night Safari,"12,148 reviews",4
Johor Bahru City Square,"1,227 reviews",4
Cloud Forest,"14,923 reviews",4.5
National Orchid Garden,"13,818 reviews",4.5
River Safari,"3,021 reviews",4
Jurong Bird Park,"5,212 reviews",4.5
Buddha Tooth Relic Temple and Museum,"6,423 reviews",4.5
Haw Par Villa,870 reviews,4
ION Orchard,"1,019 reviews",4
The Original Singapore Walks,724 reviews,5
MacRitchie Nature Trail,"1,844 reviews",4.5
Singapore Visitor Centre @orchardgateway,661 reviews,4.5
Singapore City Explorers,442 reviews,5
Let's Go Bike,787 reviews,5
The Southern Ridges,"1,172 reviews",4.5
Spectra - A Light And Water Show,"1,318 reviews",4.5
Kranji War Memorial,999 reviews,4.5
Free Singapore Tour,531 reviews,4
Batam Centre Ferry Terminal,807 reviews,3.5
The Shoppes at Marina Bay Sands,"2,190 reviews",4.5
Fort Siloso,697 reviews,4
Xcape Singapore,"1,294 reviews",5
Adventure Cove Waterpark,"2,467 reviews",4
Legoland Malaysia,"5,931 reviews",4
Flower Dome,"6,484 reviews",4.5
Trick Eye Museum Singapore,"1,099 reviews",4
Science Centre Singapore,770 reviews,4
Esplanade - Theatres on the Bay,"1,084 reviews",4.5
Sri Mariamman Temple,"1,031 reviews",4
Palawan Beach,"1,022 reviews",4
Daytrip,"2,749 reviews",5
Mega Adventure,"1,378 reviews",4.5
Wings of Time,"2,124 reviews",4.5
MacRitchie Reservoir,856 reviews,4.5
ArtScience Museum at Marina Bay Sands,"1,656 reviews",4
Haji Lane,"1,041 reviews",4
Flight Experience,878 reviews,5
Jane's SG Tours,215 reviews,5
Bike Around Tour,934 reviews,5
The Intan,577 reviews,5
Wok 'n' Stroll,149 reviews,5
Singapore City Gallery,514 reviews,4.5
Sultan Mosque,"1,065 reviews",4
Sentosa Boardwalk,"1,335 reviews",4.5
Healing Touch Spa,891 reviews,4.5
Tempat Senang Spa,485 reviews,5
The Escape Hunt Experience Singapore,420 reviews,4.5
