tag,4_no_cluster,5_no_cluster,6_no_cluster
bread,3,3,3
breadstick,3,3,3
brown,2,2,2
bun,3,3,3
caraway,0,1,0
seed,0,4,1
challah,3,3,3
cinnamon,0,4,1
cracker,3,3,3
crouton,3,3,3
dark,2,2,2
muffin,3,3,3
flatbread,3,3,3
garlic,0,1,0
gluten,1,0,5
host,0,1,0
loaf,3,3,3
matzo,3,3,3
onion,0,4,1
raisin,3,3,3
rye,0,4,1
sour,1,0,4
toast,3,3,3
wafer,1,0,5
white,0,1,0
cake,0,4,1
fish,0,1,0
applesauce,1,0,4
cream,2,2,2
pie,3,3,3
cheesecake,3,3,3
chiffon,0,4,1
chocolate,1,0,4
coconut,3,3,3
coffeecake,3,3,3
cookie,3,3,3
crumb,2,2,2
crumpet,3,3,3
cupcake,3,3,3
fruitcake,0,1,0
genoise,3,3,3
gingerbread,3,3,3
honey,1,0,4
pancake,3,3,3
prune,3,3,3
savarin,3,3,3
spice,1,0,5
sponge,1,0,5
teacake,3,3,3
torte,3,3,3
sandwich,1,0,4
waffle,3,3,3
pastry,1,0,4
puff,2,2,2
paste,1,0,5
baklava,3,3,3
frangipane,3,3,3
patty,1,0,4
shell,0,4,1
crust,0,4,1
sausage,3,3,3
streusel,3,3,3
strudel,3,3,3
tart,0,1,0
timbale,1,0,4
breakfast,1,0,4
cereal,0,1,0
barley,1,0,4
corn,0,1,0
grain,1,0,5
millet,0,1,0
oat,0,1,0
pearl,0,4,1
rice,1,0,4
wheat,0,1,0
buckwheat,0,1,0
groats,1,0,4
malt,2,2,2
cold,2,2,2
hot,2,2,2
muesli,3,3,3
butter,3,3,3
ghee,3,3,3
drumstick,2,2,2
yak,2,2,2
cheese,3,3,3
blue,2,2,2
gorgonzola,3,3,3
roquefort,3,3,3
stilton,3,3,3
brie,3,3,3
camembert,3,3,3
cheddar,0,4,1
cottage,0,4,1
double,2,2,2
mascarpone,3,3,3
gloucester,0,4,1
edam,3,3,3
goat,0,1,0
gouda,3,3,3
grated,2,2,2
mozzarella,3,3,3
muenster,3,3,3
parmesan,3,3,3
quark,0,4,1
ricotta,3,3,3
string,0,4,1
swiss,2,2,2
emmenthal,3,3,3
gruyere,3,3,3
triple,2,2,2
velveeta,3,3,3
bitter,1,0,4
bittersweet,0,1,0
candy,1,0,4
choc,3,3,3
bar,0,4,1
kiss,2,2,2
jimmies,3,3,3
liquor,1,0,4
cocoa,1,0,4
powder,3,3,3
milk,1,0,4
convenience,2,2,2
charcuterie,0,4,1
brownie,0,1,0
lemonade,1,0,4
takeout,3,3,3
dinner,1,0,4
fingerling,0,1,0
herring,3,3,3
salmon,0,1,0
sea,0,4,1
bass,2,2,2
snapper,0,1,0
sole,0,4,1
trout,3,3,3
tuna,0,1,0
whitefish,3,3,3
northern,2,2,2
rough,0,4,1
young,0,1,0
brit,0,1,0
anchovy,3,3,3
mediterranean,0,4,1
eel,3,3,3
smoked,2,2,2
common,0,4,1
haddock,3,3,3
hake,3,3,3
ling,0,1,0
silver,1,0,5
liza,0,1,0
striped,2,2,2
coho,3,3,3
sockeye,3,3,3
red,2,2,2
river,0,4,1
dip,2,2,2
crab,0,1,0
fiddler,0,1,0
king,0,1,0
pea,3,3,3
spider,0,1,0
legs,2,2,2
japanese,0,1,0
prawn,3,3,3
safety,2,2,2
scallop,2,2,2
shark,0,1,0
angel,2,2,2
cow,0,1,0
mackerel,3,3,3
shrimp,0,1,0
snapping,2,2,2
fresh,2,2,2
health,2,2,2
junk,1,0,5
leftovers,3,3,3
meat,3,3,3
lunch,1,0,4
scrapple,3,3,3
prowl,2,2,2
beef,0,1,0
angus,2,2,2
pastrami,3,3,3
bird,0,1,0
hen,0,1,0
poultry,0,1,0
brisket,3,3,3
lamb,0,1,0
mutton,3,3,3
pork,3,3,3
veal,3,3,3
leg,0,4,1
loin,3,3,3
neck,0,4,1
rack,0,4,1
rib,0,4,1
roast,3,3,3
shank,3,3,3
shoulder,0,4,1
side,0,4,1
