word,tag
tried,VBN
recipe,NN
first,RB
small,JJ
quantity,NN
baked,VBN
bean,JJ
found,VBD
good,JJ
starter,NN
think,NN
could,MD
doctored,VB
little,JJ
adding,VBG
onions,NNS
also,RB
recipe,VBP
state,NN
much,JJ
water,NN
beans,NNS
soaked,VBD
cooked,JJ
meaning,NN
boiling,NN
well,RB
stated,VBN
minutes,NNS
still,RB
tender,VB
brought,JJ
office,NN
holiday,NN
party,NN
everyone,NN
enjoyed,VBD
great,JJ
quick,JJ
easy,JJ
meal,NN
especially,RB
mushroom,VBZ
lovers,NNS
tasty,NN
really,RB
made,VBD
steak,JJ
special,JJ
thanks,NNS
doreen,NN
tasty,JJ
make,VB
even,RB
easier,JJR
lined,VBD
baking,VBG
pan,NN
tinfoil,NN
sharing,VBG
kathy,NN
man,NN
house,NN
loved,VBD
sauce,VB
one,CD
sometimes,NNS
add,VBP
thinly,RB
sliced,VBN
carrot,NN
orange,NN
green,JJ
look,NN
together,RB
serve,VBP
boiled,VBN
rice,NN
cheers,NNS
lining,VBG
dish,JJ
nice,JJ
thick,JJ
consistency,NN
would,MD
recommend,VB
overly,RB
fond,JJ
celery,NN
substituted,VBD
shredded,JJ
cabbage,NN
dish,NN
reheated,VBD
leftovers,NNS
toast,NN
another,DT
husband,NN
enjoyed,JJ
leave,VBP
thyme,VBN
though,IN
flavour,NN
like,IN
think,VB
use,VB
chicken,JJ
beef,NN
schnitzel,NN
place,NN
pork,NN
served,VBD
potato,NN
gratin,NN
vegetables,NNS
thank,VBP
casserole,NN
put,VBD
best,JJS
freeze,NN
added,VBN
freshly,RB
grated,VBN
parmesan,JJ
cheese,JJ
dressing,VBG
thought,NN
sorry,VB
anxious,JJ
try,NN
making,VBG
buche,NN
every,DT
christmas,NN
years,NNS
never,RB
satisfied,JJ
sounds,NNS
perfect,NN
goes,VBZ
steamed,VBN
artichokes,NNS
tried,JJ
night,NN
although,IN
using,VBG
microwave,VBP
method,VBN
instead,RB
kids,NNS
refused,VBD
touch,JJ
loss,NN
thought,VBN
lemon,JJ
juice,NN
recipes,NNS
change,NN
recipe,JJ
add,JJ
lots,NNS
hungarian,JJ
paprika,FW
breadcrumbs,NN
doubled,JJ
bread,NN
sandwiches,NNS
electric,JJ
triangle,NN
sandwich,NN
toasters,NNS
thought,VBD
spicy,JJ
similar,JJ
something,NN
added,JJ
ginger,NN
touch,NN
made,VBN
without,IN
chicken,NN
directions,NNS
clearest,VBP
ever,RB
saw,RB
managed,VBN
figure,NN
makes,VBZ
pretty,RB
cake,NN
left,VBD
hours,NNS
cumin,NN
watched,VBD
zing,VBG
carol,NN
want,VBP
thank,NN
wonderful,JJ
last,JJ
brit,NN
chip,NN
king,VBG
loved,VBN
dicing,VBG
potatoes,NNS
kept,VBD
thin,JJ
strips,NNS
used,VBD
huge,JJ
onion,NN
keeper,NN
next,JJ
time,NN
add,VB
long,JJ
day,NN
quick,RB
simple,NN
bookclub,NN
finished,VBD
end,NN
evening,NN
cut,VB
back,RB
corn,NN
syrup,NN
half,NN
sweet,JJ
peanut,VB
butter,NN
cup,NN
body,NN
eat,NN
sauce,NN
sounded,VBD
heavenly,RB
cooked,VBD
two,CD
chickens,NNS
cut,VBD
portions,NNS
hour,NN
covered,VBD
uncovered,JJ
basting,NN
came,VBD
tasted,JJ
cold,VBD
name,NN
intrigued,VBD
ingredients,NNS
got,VBD
try,NNS
used,VBN
worcestershire,NN
next,IN
vegans,NNS
soy,JJ
mince,NN
added,VBD
gorgeous,JJ
yellow,JJ
peppers,NNS
contrasted,VBD
beautifully,RB
tomato,JJ
week,NN
upped,VBD
cocoa,NN
full,JJ
soy,NN
milk,NN
richer,JJR
flavor,NN
definitely,RB
going,VBG
satisfying,VBG
craisins,NNS
dried,JJ
cranberries,NNS
flavor,VBP
color,NN
lot,NN
cheese,NNS
amount,NN
pasta,NN
wonder,NN
reagan,JJ
alzheimer,NN
pasta,CC
pound,NN
dash,JJ
mustard,RB
bland,NN
bored,VBD
year,NN
old,JJ
daughter,NN
invited,VBD
several,JJ
thousand,CD
closest,JJS
friends,NNS
least,JJS
noise,JJ
level,NN
handle,VB
recipe,VB
dog,NN
joined,VBD
cleaning,NN
dropped,VBD
dough,IN
lived,VBD
norway,JJ
aunt,NN
us,PRP
treat,NN
breakfast,NN
brings,VBZ
back,RP
memories,NNS
local,JJ
black,JJ
malt,NN
beer,NN
threw,VBD
everything,NN
roasting,VBG
bag,NNS
tied,VBN
knot,NNS
tossed,VBD
crock,NN
pot,NN
later,RB
dinner,NN
hot,JJ
marinade,NN
guess,NN
version,NN
superb,JJ
thing,NN
missing,VBG
pepper,NN
topping,VBG
fresh,JJ
mixed,JJ
let,NN
heat,NN
cook,VB
veggies,NNS
bit,VB
live,JJ
buy,NN
bottled,VBD
french,JJ
specialty,NN
import,NN
stores,NNS
pleasure,VBP
able,JJ
hand,NN
keep,VB
make,RB
need,NN
usually,RB
side,NN
along,RB
corned,VBN
fried,VBN
calls,VBZ
white,JJ
cornmeal,NN
possible,JJ
find,RB
earthier,JJR
cornbread,NN
novel,JJ
idea,NN
meatball,VB
mix,NNS
regular,JJ
meatball,NN
combination,NN
broth,DT
cranberry,VBP
sauce,VBP
truly,RB
appetizer,NN
amazing,VBG
reminded,VBD
hostess,NN
fruit,NN
pies,NNS
kid,NN
states,NNS
tried,VBD
apple,NN
pie,NN
filling,VBG
hit,VBN
big,JJ
adults,NNS
prefer,VBP
cherry,NN
blueberry,NN
thickened,JJ
juices,NNS
cornstarch,VBP
cling,VBG
meat,VB
better,JJR
definite,NN
sandwich,JJ
rolls,NNS
provolone,VBP
sliced,JJ
tomatos,NNS
lettuce,VBP
slices,NNS
bermuda,JJ
store,NN
bought,VBD
dip,NN
ago,RB
find,NN
since,IN
pleased,JJ
see,NN
tonight,JJ
family,NN
submitting,VBG
takes,VBZ
quite,RB
bit,JJ
work,NN
